filename	ATTRIBUTE_Organism	ATTRIBUTE_Pool	ATTRIBUTE_Time_point	ATTRIBUTE_Gut_section	ATTRIBUTE_Con/Inf
131.mzXML	T.cruzi_epi	3	4	PM	Inf
132.mzXML	T.cruzi_epi	3	4	H	Inf
133.mzXML	T.cruzi_epi	c1	0	AM	Con
134.mzXML	T.cruzi_epi	c1	0	PM	Con
135.mzXML	T.cruzi_epi	c1	0	H	Con
136.mzXML	T.cruzi_epi	c2	0	AM	Con
137.mzXML	T.cruzi_epi	c2	0	PM	Con
138.mzXML	T.cruzi_epi	c2	0	H	Con
139.mzXML	T.cruzi_epi	c3	0	AM	Con
140.mzXML	T.cruzi_epi	c3	0	PM	Con
141.mzXML	T.cruzi_epi	c3	0	H	Con
142.mzXML	T.cruzi_epi	c1	1	AM	Con
143.mzXML	T.cruzi_epi	c1	1	PM	Con
144.mzXML	T.cruzi_epi	c1	1	H	Con
145.mzXML	T.cruzi_epi	c2	1	AM	Con
146.mzXML	T.cruzi_epi	c2	1	PM	Con
147.mzXML	T.cruzi_epi	c2	1	H	Con
148.mzXML	T.cruzi_epi	c3	1	AM	Con
149.mzXML	T.cruzi_epi	c3	1	PM	Con
150.mzXML	T.cruzi_epi	c3	1	H	Con
151.mzXML	T.cruzi_epi	c1	2	AM	Con
152.mzXML	T.cruzi_epi	c1	2	PM	Con
153.mzXML	T.cruzi_epi	c1	2	H	Con
154.mzXML	T.cruzi_epi	c2	2	AM	Con
155.mzXML	T.cruzi_epi	c2	2	PM	Con
156.mzXML	T.cruzi_epi	c2	2	H	Con
157.mzXML	T.cruzi_epi	c3	2	AM	Con
158.mzXML	T.cruzi_epi	c3	2	PM	Con
159.mzXML	T.cruzi_epi	c3	2	H	Con
160.mzXML	T.cruzi_epi	c1	3	AM	Con
161.mzXML	T.cruzi_epi	c1	3	PM	Con
162.mzXML	T.cruzi_epi	c1	3	H	Con
163.mzXML	T.cruzi_epi	c2	3	AM	Con
164.mzXML	T.cruzi_epi	c2	3	PM	Con
165.mzXML	T.cruzi_epi	c2	3	H	Con
166.mzXML	T.cruzi_epi	c3	3	AM	Con
167.mzXML	T.cruzi_epi	c3	3	PM	Con
168.mzXML	T.cruzi_epi	c3	3	H	Con
169.mzXML	T.cruzi_epi	c1	4	AM	Con
170.mzXML	T.cruzi_epi	c1	4	PM	Con
171.mzXML	T.cruzi_epi	c1	4	H	Con
172.mzXML	T.cruzi_epi	c2	4	AM	Con
173.mzXML	T.cruzi_epi	c2	4	PM	Con
174.mzXML	T.cruzi_epi	c2	4	H	Con
175.mzXML	T.cruzi_epi	c3	4	AM	Con
176.mzXML	T.cruzi_epi	c3	4	PM	Con
177.mzXML	T.cruzi_epi	c3	4	H	Con
